time,A,B,C,D
0.0,116.2462237778,116.0970333231,119.0105064462,116.0016694152
0.5,116.0431318704,116.0391171862,118.9353031012,115.9756537089
1.0,116.0108760969,115.9611076957,118.934090144,115.8491227736
1.5,115.8531812042,115.8736425093,118.8673774993,115.89760659
2.0,115.7552192254,115.8630048515,118.8746552423,116.0028519473
2.5,115.5449593684,115.8204542203,118.653897036,115.9602807916
3.0,115.3956270836,115.7719937792,118.524110618,115.7758057831
3.5,115.5485433432,115.7979969427,118.5629252477,115.8408450489
4.0,115.0432028914,115.6502516955,118.6235731065,115.8786860763
4.5,115.1650580358,115.7483545396,118.503490346,115.8443926452
5.0,115.067096057,115.5249637258,118.5762677766,115.8337498563
5.5,115.212844367,115.4575918931,118.5156199177,115.8254721315
6.0,114.8914812901,115.4422263874,118.4804441596,115.8041865536
6.5,114.9464355709,115.3358498093,118.4185833435,115.7781708473
7.0,114.7564849046,115.2211994975,118.3991760287,115.719044242
7.5,114.6836107496,115.0687264023,118.3846205425,115.639814591
8.0,114.5438357311,115.0935476039,118.2584729961,115.5783229215
8.5,114.3180453165,114.9150713452,118.1541586788,115.5700451968
9.0,114.1699076899,114.7791457177,118.3737039279,115.6126163526
9.5,114.3586636979,114.6302185085,118.2063158374,115.5416644262
10.0,114.2965414675,114.6952264173,118.1383902355,115.4919980778
10.5,113.8903576528,114.4552881358,118.1468809357,115.4364190688
11.0,114.0349113045,114.43992263,118.1480938929,115.426958812
11.5,113.7613345587,114.3229083942,118.1298995352,115.3997605736
12.0,113.7266894687,114.1420682116,118.175991908,115.3914828488
12.5,113.5893037666,113.852487527,118.0231593036,115.214103033
13.0,113.3001964633,113.7638403787,117.8387898126,115.2637693814
13.5,113.269135348,113.5676346903,117.7805678681,115.079294373
14.0,113.3193109957,113.5806362721,117.5052265887,114.9645887588
14.5,113.1592267864,113.423435329,117.6956608656,114.8711687224
15.0,113.088741948,113.3477897624,117.7247718379,114.888906704
15.5,112.7805201122,113.2295935646,117.3972733999,114.7931216035
16.0,112.2309773041,113.0156584466,117.6289482208,114.7280823377
16.5,112.8474209758,112.7248958,117.6338000496,114.7919390714
17.0,112.6347718022,112.5322359976,117.411828886,114.6275671087
17.5,112.2859315849,112.5275081497,117.3742272135,114.6121941914
18.0,112.5702602552,112.2521110088,117.4688378734,114.6689557324
18.5,112.4722982764,112.0322660809,117.3475421556,114.4892108524
19.0,112.4484051108,112.1528262027,117.1425523926,114.3082834403
19.5,112.1760230233,111.9991711456,116.8805536422,114.1604669271
20.0,112.2070841386,111.8809749478,117.0200437176,114.136816285
20.5,111.8486866551,111.7651426739,117.0030623172,114.1793874408
21.0,111.929923418,111.544115784,116.7992855113,114.2077682113
21.5,111.9120035438,111.5358420502,116.6513047356,114.0966101934
22.0,111.9179768352,111.4022803467,116.9157294004,114.0930625971
22.5,111.6539573557,111.2545350994,116.8332483123,113.9416984876
23.0,111.6300641901,111.0405999814,116.7046748514,113.9653491297
23.5,111.4687853225,110.8633056847,116.7750263678,113.766683736
24.0,111.4628120311,110.7711126505,116.7301469522,113.6448829291
24.5,111.3875485596,110.5370841788,116.4499538441,113.531359847
25.0,110.9801700867,110.3562439962,116.2583066101,113.385908398
25.5,110.7149559489,110.2439576083,116.3432136125,113.4544952601
26.0,110.7137612906,110.2297740646,116.3407876981,113.2865757012
26.5,110.8212805356,110.1789496995,116.1151776631,113.0843627111
27.0,110.7782728376,110.1423088782,116.0727241619,113.0547994085
27.5,110.6779215422,110.0855747032,116.2182790232,112.9519191153
28.0,110.372089023,109.9141902164,115.7779755677,113.1458543806
28.5,110.4700510018,109.6612503532,115.8980583283,113.0429740874
29.0,110.2574018282,109.5867867485,115.9356600008,113.0583470048
29.5,110.0531152626,109.4449513112,116.0448261468,112.9058003632
30.0,109.6636566639,109.2995699879,115.868947356,112.9199907485
30.5,109.8452447222,109.2061949916,115.7840403536,112.7993724737
31.0,109.63856884,109.0655415163,115.5293193463,112.6208101258
31.5,109.5334389115,109.1104560714,115.5729858047,112.6042546763
32.0,109.488041897,108.970984558,115.1557285355,112.46589842
32.5,109.3243737128,108.8882472196,114.9568035584,112.1797256505
33.0,109.2861446479,108.7889624134,114.9980441024,112.1572575405
