"size" "time" "nFits"
"1" 50 0.480000000000018 820
"2" 75 1.09199999999998 1830
"3" 100 2.03099999999995 3240
"4" 125 3.31200000000001 5050
"5" 150 5.13999999999999 7260
"6" 175 7.57600000000002 9870
"7" 200 11.5309999999999 12880
"8" 225 16.309 16290
"9" 250 24.456 20100
"10" 275 31.177 24310
"11" 300 43.02 28920
"12" 325 50.8869999999999 33930
"13" 350 75.1189999999999 39340
"14" 375 85.155 45150
"15" 400 115.328 51360
"16" 425 148.956 57970
"17" 450 166.545 64980
"18" 475 224.119 72390
"19" 500 298.313 80200
