"pond","month.num","flux","Time.m","O2"
3,1,"dark",1,18.0451321065
3,1,"dark",2,17.9500359823
3,1,"dark",3,17.8549398581
3,1,"dark",4,17.7598437339
3,1,"dark",5,17.7110105891
3,1,"dark",6,17.6493266166
3,1,"dark",7,17.5208183407
3,1,"dark",8,17.4257222165
3,1,"dark",9,17.3306260923
3,1,"dark",10,17.2046879819
3,1,"dark",11,17.1250128508
3,1,"dark",12,17.0299167266
3,1,"dark",13,16.9836537473
3,1,"dark",14,16.8551454714
3,1,"dark",15,16.808882492
3,1,"dark",16,16.808882492
3,1,"dark",17,16.7600493472
3,1,"dark",18,16.7137863678
3,1,"dark",19,16.664953223
3,1,"dark",20,16.6032692505
3,1,"dark",21,16.5544361057
3,1,"dark",22,16.5081731263
3,1,"dark",23,16.4593399815
3,1,"dark",24,16.4105068366
3,1,"dark",25,16.3642438573
3,1,"dark",26,16.2999897193
3,1,"dark",27,16.25372674
3,1,"dark",28,16.25372674
3,1,"dark",29,16.2203145883
3,1,"dark",30,16.1586306158
3,1,"dark",31,16.1586306158
3,1,"dark",32,16.1432096227
3,1,"dark",33,16.0943764778
3,1,"dark",34,16.0635344916
3,1,"light",1,18.7886311325
3,1,"light",2,18.7084594098
3,1,"light",3,18.6463909794
3,1,"light",4,18.5662192567
3,1,"light",5,18.5817363643
3,1,"light",6,18.5351850415
3,1,"light",7,18.421392919
3,1,"light",8,18.4550133189
3,1,"light",9,18.2481185507
3,1,"light",10,18.2946698735
3,1,"light",11,18.103292213
3,1,"light",12,18.0076033827
3,1,"light",13,17.9610520599
3,1,"light",14,17.8963974448
3,1,"light",15,17.8653632296
3,1,"light",16,17.8007086146
3,1,"light",17,17.785191507
3,1,"light",18,17.8653632296
3,1,"light",19,17.785191507
3,1,"light",20,17.7696743994
3,1,"light",21,17.7205368919
3,1,"light",22,17.7050197843
3,1,"light",23,17.7205368919
3,1,"light",24,17.7050197843
3,1,"light",25,17.609330954
3,1,"light",26,17.5938138464
3,1,"light",27,17.5782967388
3,1,"light",28,17.5472625236
3,1,"light",29,17.5291592314
3,1,"light",30,17.4981250162
3,1,"light",31,17.4515736933
3,1,"light",32,17.4515736933
3,1,"light",33,17.4024361859
3,1,"light",34,17.3869190783
6,1,"light",1,10.4978545818
6,1,"light",2,10.4625874331
6,1,"light",3,10.6065949568
6,1,"light",4,11.3325104332
6,1,"light",5,10.6418621054
6,1,"light",6,10.8593428555
6,1,"light",7,10.9151825075
6,1,"light",8,10.9504496561
6,1,"light",9,11.0944571798
6,1,"light",10,11.2031975548
6,1,"light",11,11.1150296832
6,1,"light",12,11.1679304062
6,1,"light",13,11.2590372068
6,1,"light",14,11.2943043555
6,1,"light",15,11.4765179569
6,1,"light",16,11.6205254805
6,1,"light",17,11.7645330042
6,1,"light",18,11.9996473285
6,1,"light",19,12.1083877035
6,1,"light",20,12.1289602069
6,1,"light",21,12.2377005819
6,1,"light",22,11.0591900312
6,1,"light",23,11.0944571798
6,1,"light",24,11.4383118792
6,1,"light",25,11.3677775818
6,1,"light",26,11.5117851055
6,1,"light",27,11.4383118792
6,1,"light",28,11.5117851055
6,1,"light",29,11.5470522542
6,1,"light",30,11.6939987069
6,1,"light",31,11.8027390819
6,1,"light",32,11.8380062305
6,1,"light",33,11.6763651325
6,1,"light",34,11.6205254805
6,1,"light",35,11.7292658555
6,1,"light",36,11.9467466055
6,1,"light",37,11.9996473285
6,1,"light",38,11.8938458826
6,1,"light",39,11.8938458826
6,1,"light",40,11.8938458826
6,1,"light",41,11.8203726562
6,1,"light",42,11.8380062305
6,1,"light",43,11.8380062305
6,1,"light",44,11.8203726562
6,1,"light",45,11.9114794569
6,1,"light",46,11.8732733792
