"","Time.s","A2","A3","C2","D1"
"1",1,99.05,98.41,102.88,100
"2",121,97.78,96.99,100.64,96.67
"3",241,97.3,96.67,99.68,95.57
"4",361,97.46,96.36,99.52,95.26
"5",481,97.3,96.04,99.05,94.94
"6",601,96.99,95.88,98.89,94.31
"7",721,96.83,95.73,98.73,94.31
"8",841,96.51,95.57,98.73,93.84
"9",961,96.51,95.26,98.57,93.84
"10",1081,96.36,95.57,98.57,93.84
"11",1201,96.04,95.1,98.25,93.69
"12",1321,95.88,95.1,98.25,93.37
"13",1441,95.57,94.78,98.25,93.06
"14",1561,95.57,94.78,98.09,92.91
"15",1681,95.26,94.63,97.94,92.59
"16",1801,95.26,94.63,97.94,92.75
"17",1921,94.78,94.63,97.78,92.44
"18",2041,94.78,94.47,97.46,92.28
"19",2162,94.78,94.31,97.78,92.44
"20",2282,94.47,94,97.3,91.97
"21",2402,94.47,94.31,97.46,91.97
"22",2522,94.16,94,97.3,91.82
"23",2642,93.84,93.84,96.99,91.66
"24",2762,93.69,93.84,96.83,91.5
"25",2882,93.69,93.84,96.83,91.35
"26",3002,93.53,93.84,96.67,91.35
"27",3122,93.37,94,96.67,91.35
"28",3242,93.22,93.69,96.2,91.04
"29",3362,93.22,93.69,96.51,91.04
"30",3482,93.06,93.53,96.2,90.88
"31",3602,92.75,93.37,96.04,91.04
"32",3722,92.91,93.37,96.04,91.04
"33",3842,92.59,93.53,95.57,90.73
"34",3962,92.75,93.37,95.57,90.57
"35",4082,92.44,93.22,95.57,90.73
"36",4202,92.44,93.37,95.41,90.73
"37",4322,92.28,93.37,95.41,90.42
"38",4442,91.97,93.22,95.1,90.57
"39",4562,91.97,92.91,95.1,90.42
"40",4682,91.82,93.06,94.94,90.26
"41",4802,91.66,93.06,94.78,90.26
"42",4922,91.66,93.06,94.78,89.95
"43",5042,91.5,93.06,94.63,89.8
"44",5162,91.35,92.91,94.47,89.64
"45",5282,91.5,92.91,94.31,89.64
"46",5402,91.19,92.91,94.16,89.49
"47",5522,91.04,92.75,93.84,89.33
"48",5642,91.19,92.91,94,89.18
"49",5762,90.88,92.59,93.84,89.03
"50",5882,90.73,92.75,93.69,88.87
"51",6002,90.73,92.75,93.69,88.87
"52",6122,90.57,92.59,93.53,88.72
"53",6242,90.57,92.75,93.53,88.56
"54",6362,90.42,92.44,93.22,88.25
"55",6482,90.11,92.59,93.06,88.1
"56",6602,90.11,92.44,93.22,88.25
"57",6722,89.95,92.44,93.06,87.95
"58",6842,89.95,92.28,92.91,87.79
"59",6962,89.8,92.28,92.75,87.64
"60",7082,89.49,92.28,92.75,87.33
"61",7202,89.49,92.13,92.59,87.33
"62",7322,89.18,91.97,92.13,87.02
"63",7442,89.18,92.13,92.28,87.18
"64",7562,89.03,92.28,92.13,86.87
"65",7682,88.87,92.28,92.13,86.72
"66",7802,89.03,91.97,92.13,86.56
"67",7922,88.72,92.13,91.82,86.56
"68",8042,88.41,91.66,91.66,86.1
"69",8162,88.41,91.82,91.66,85.95
"70",8282,88.25,91.82,91.66,85.95
"71",8402,88.1,91.66,91.5,85.8
"72",8522,88.1,91.5,91.35,85.49
"73",8642,87.95,91.82,91.19,85.34
"74",8762,87.79,91.66,91.19,85.34
"75",8882,87.48,91.5,91.04,85.03
"76",9002,87.48,91.5,91.04,85.03
"77",9122,87.33,91.66,90.42,84.73
"78",9242,87.18,91.5,90.57,84.58
"79",9362,87.02,91.66,90.57,84.42
"80",9482,86.87,91.35,90.57,84.12
"81",9602,86.87,91.35,90.26,84.12
"82",9722,86.72,91.5,90.26,83.81
"83",9842,86.72,91.35,90.11,83.81
"84",9962,86.26,91.19,90.11,83.81
"85",10082,86.26,91.19,89.8,83.51
"86",10202,86.26,91.19,89.64,83.21
"87",10322,86.1,91.04,89.64,83.05
"88",10442,85.95,91.35,89.64,83.21
"89",10562,85.8,91.04,89.33,82.9
"90",10682,85.65,90.88,89.18,82.75
"91",10802,85.49,91.04,89.18,82.6
"92",10922,85.34,90.88,89.03,82.14
"93",11042,85.19,90.88,88.87,82.3
"94",11162,85.03,90.88,88.72,82.14
"95",11282,84.88,90.73,88.56,81.99
"96",11402,84.88,90.88,88.72,81.99
"97",11522,84.88,90.88,88.41,81.54
"98",11642,84.58,90.73,88.41,81.39
"99",11762,84.42,90.88,88.25,81.24
"100",11882,84.27,90.73,88.25,81.09
"101",12002,84.12,90.42,87.79,80.78
"102",12122,83.81,90.57,87.79,80.63
"103",12242,83.81,90.26,87.79,80.63
"104",12362,83.81,90.42,87.64,80.48
"105",12482,83.66,90.26,87.33,80.18
"106",12602,83.21,90.26,87.18,80.03
"107",12722,83.36,90.11,87.02,79.88
