Time.s,A1,B1,C1,D1,A2,B2,C2,D2,A3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,D6
1,99.68,102.72,103.52,100,99.05,100.32,102.88,101.92,98.41,98.57,98.89,99.84,97.78,96.67,96.83,97.15,96.83,95.88,101.12,97.46,97.94,96.83
121,97.62,99.68,100.8,96.67,97.78,98.57,100.64,98.09,96.99,96.99,96.99,99.2,96.67,95.26,95.73,96.04,95.57,94.31,100.48,95.88,96.04,95.26
241,96.67,98.73,99.84,95.57,97.3,97.78,99.68,97.3,96.67,96.04,96.04,98.57,96.2,94.63,94.94,95.41,94.94,93.53,100,95.41,95.57,94.63
361,96.36,98.41,99.52,95.26,97.46,97.3,99.52,97.15,96.36,95.73,95.73,98.41,96.04,94.16,94.78,95.1,94.78,93.37,100.16,95.26,95.41,94.47
481,96.36,98.09,99.36,94.94,97.3,96.83,99.05,96.67,96.04,95.41,95.57,98.09,95.88,94.16,94.63,94.94,94.47,93.06,99.84,94.94,94.94,94.31
601,96.04,97.62,99.05,94.31,96.99,96.51,98.89,96.36,95.88,95.26,95.26,97.78,95.88,93.84,94.47,94.63,94.16,92.75,100,94.94,94.63,94.16
721,95.88,97.62,98.89,94.31,96.83,96.36,98.73,96.36,95.73,95.1,95.1,97.62,95.41,93.69,94.31,94.63,94,92.59,99.84,94.94,94.78,94.16
841,95.57,97.3,98.73,93.84,96.51,96.04,98.73,96.04,95.57,94.94,94.78,96.83,95.26,93.53,93.84,94.31,93.84,92.13,99.52,94.31,94.31,93.84
961,95.73,97.15,98.41,93.84,96.51,95.88,98.57,95.88,95.26,94.78,94.63,96.83,95.1,93.06,93.84,94.16,93.69,92.13,99.36,94.47,94,93.69
1081,95.73,97.15,98.41,93.84,96.36,95.73,98.57,96.04,95.57,94.78,94.47,96.83,94.94,93.22,93.84,94.16,93.69,91.97,99.36,94.31,94.31,94
1201,95.57,96.83,98.25,93.69,96.04,95.57,98.25,95.88,95.1,94.63,94.31,96.36,95.1,93.22,93.69,94,93.53,91.82,99.05,94.31,94.16,93.53
1321,95.41,96.83,97.94,93.37,95.88,95.26,98.25,95.41,95.1,94.47,94.16,96.36,94.94,92.91,93.37,93.69,93.37,91.82,98.73,94.47,94,93.69
1441,95.26,96.36,97.62,93.06,95.57,95.1,98.25,95.26,94.78,94.47,93.84,96.2,94.47,92.75,93.22,93.53,93.22,91.5,98.25,94.31,93.69,93.37
1561,95.41,96.36,97.46,92.91,95.57,95.1,98.09,95.26,94.78,94.47,94,96.04,94.63,92.75,93.06,93.53,93.06,91.5,98.25,94,93.69,93.53
1681,95.26,96.04,97.3,92.59,95.26,94.94,97.94,95.1,94.63,94.16,93.69,95.57,94.16,92.44,92.91,93.22,93.06,91.35,97.94,93.84,93.37,93.22
1801,95.1,96.04,97.15,92.75,95.26,94.78,97.94,95.1,94.63,94.31,93.84,95.41,94.16,92.44,92.91,93.22,93.06,91.19,97.94,94,93.22,93.22
1921,94.94,95.88,97.15,92.44,94.78,94.47,97.78,94.94,94.63,94.16,93.69,95.26,94,92.28,92.75,93.06,92.91,91.04,97.62,93.84,93.22,93.06
2041,95.26,95.73,96.83,92.28,94.78,94.47,97.46,94.78,94.47,94,93.37,95.26,94,92.28,92.59,92.91,92.91,90.88,97.3,93.84,93.06,93.22
2162,95.1,95.73,96.83,92.44,94.78,94.47,97.78,94.78,94.31,94.31,93.37,95.1,93.84,92.13,92.59,93.06,92.91,91.04,97.3,94,93.37,93.22
2282,94.94,95.41,96.51,91.97,94.47,94.16,97.3,94.63,94,93.84,93.22,94.78,93.53,91.97,92.28,92.59,92.75,90.73,96.83,93.53,93.06,93.06
2402,95.1,95.41,96.51,91.97,94.47,94.16,97.46,94.47,94.31,93.84,93.22,94.94,93.53,91.82,92.44,92.75,92.75,90.88,96.83,93.53,92.91,93.06
2522,94.94,95.26,96.36,91.82,94.16,94.16,97.3,94.31,94,93.84,93.06,94.63,93.37,91.66,91.97,92.44,92.44,90.73,96.67,93.53,92.75,93.06
2642,94.78,95.1,96.2,91.66,93.84,94,96.99,94.16,93.84,93.69,92.91,94.31,93.22,91.5,91.82,92.44,92.28,90.57,96.36,93.53,92.75,92.75
2762,94.63,94.78,96.04,91.5,93.69,93.69,96.83,94,93.84,93.69,92.44,94.16,93.06,91.35,91.82,92.13,92.28,90.42,96.04,93.22,92.44,92.59
2882,94.78,94.94,95.88,91.35,93.69,93.84,96.83,94,93.84,93.53,92.75,94.31,92.91,91.35,91.5,92.13,92.13,90.42,96.04,93.37,92.44,92.44
3002,94.63,94.63,95.88,91.35,93.53,93.84,96.67,94,93.84,93.53,92.59,93.84,92.91,91.19,91.5,91.97,92.28,90.26,96.04,93.06,92.28,92.59
3122,94.63,94.63,95.73,91.35,93.37,93.69,96.67,94,94,93.53,92.59,94,92.75,91.19,91.5,91.82,92.13,90.26,96.04,93.37,92.59,92.59
3242,94.31,94.16,95.57,91.04,93.22,93.37,96.2,93.69,93.69,93.37,92.13,93.53,92.44,90.88,91.04,91.66,91.82,89.8,95.73,93.06,92.13,92.13
3362,94.47,94.47,95.41,91.04,93.22,93.22,96.51,93.69,93.69,93.22,92.28,93.53,92.44,90.88,91.19,91.5,92.13,90.26,95.57,93.06,91.97,92.28
3482,94.31,94.16,95.26,90.88,93.06,93.22,96.2,93.53,93.53,93.06,92.13,93.53,92.28,90.57,91.04,91.35,91.66,89.64,95.41,93.06,91.82,92.13
3602,94.31,94.16,95.1,91.04,92.75,93.22,96.04,93.53,93.37,93.22,92.13,93.22,92.13,90.73,90.88,91.35,91.82,89.64,95.26,93.06,91.97,92.13
3722,94.16,94,94.94,91.04,92.91,93.06,96.04,93.37,93.37,92.91,92.13,93.22,91.97,90.42,90.88,91.35,91.5,89.8,95.26,92.91,91.66,91.97
3842,94.16,93.84,94.78,90.73,92.59,92.91,95.57,93.22,93.53,93.06,91.97,93.06,91.97,90.57,90.73,90.88,91.35,89.64,95.1,92.91,91.66,91.82
3962,94,93.69,94.78,90.57,92.75,93.06,95.57,93.22,93.37,93.06,91.82,93.06,91.97,90.42,90.73,90.88,91.5,89.49,94.78,92.91,91.19,91.66
4082,94,93.37,94.63,90.73,92.44,92.75,95.57,92.91,93.22,92.91,91.5,92.75,91.66,90.11,90.42,90.73,91.35,89.49,94.63,92.59,91.35,91.66
4202,94.16,93.37,94.47,90.73,92.44,92.91,95.41,92.91,93.37,92.91,91.66,92.75,91.82,90.11,90.26,90.73,91.19,89.49,94.47,92.91,91.5,91.66
4322,93.84,93.22,94.31,90.42,92.28,92.44,95.41,92.91,93.37,92.59,91.66,92.59,91.82,89.95,90.11,90.57,91.19,89.33,94.47,92.59,91.19,91.66
4442,93.84,93.22,94.31,90.57,91.97,92.59,95.1,92.59,93.22,92.59,91.35,92.44,91.5,89.95,90.11,90.57,91.04,89.18,94.63,92.59,91.04,91.35
4562,93.69,93.06,94,90.42,91.97,92.59,95.1,92.59,92.91,92.28,91.19,92.13,91.19,89.8,89.64,90.26,90.73,88.87,94.31,92.44,91.04,91.19
4682,93.69,92.91,94,90.26,91.82,92.44,94.94,92.59,93.06,92.44,91.19,92.13,91.35,89.64,89.8,90.26,90.73,88.87,94.16,92.44,90.88,91.19
4802,93.69,92.75,93.84,90.26,91.66,92.44,94.78,92.44,93.06,92.44,91.19,91.97,91.04,89.49,89.64,90.11,90.73,88.87,94,92.44,90.88,91.04
4922,93.53,92.75,93.69,89.95,91.66,92.28,94.78,92.44,93.06,92.28,91.04,91.97,91.04,89.33,89.49,89.95,90.57,88.72,93.84,92.28,90.73,90.88
5042,93.37,92.59,93.69,89.8,91.5,92.28,94.63,92.44,93.06,92.28,90.88,91.66,91.04,89.18,89.33,89.8,90.42,88.72,93.69,92.28,90.42,91.04
5162,93.53,92.59,93.53,89.64,91.35,92.13,94.47,92.28,92.91,91.97,90.88,91.5,90.88,89.03,89.18,89.8,90.42,88.56,93.69,92.13,90.57,90.88
5282,93.22,92.44,93.37,89.64,91.5,91.97,94.31,92.13,92.91,92.13,90.73,91.35,90.73,89.18,89.18,89.49,90.42,88.56,93.37,91.97,90.42,90.88
5402,93.37,91.97,93.37,89.49,91.19,91.82,94.16,92.13,92.91,91.97,90.73,91.35,90.88,88.87,88.87,89.49,90.11,88.41,93.22,91.97,90.42,90.88
5522,93.06,91.97,93.22,89.33,91.04,91.97,93.84,91.97,92.75,91.82,90.42,91.19,90.42,88.72,88.87,89.18,90.26,88.25,93.22,91.82,90.11,90.73
5642,93.06,92.13,93.06,89.18,91.19,91.82,94,91.82,92.91,91.97,90.73,91.19,90.57,88.72,88.72,89.33,90.11,88.25,93.22,91.82,90.26,90.57
5762,92.91,91.82,92.91,89.03,90.88,91.66,93.84,91.66,92.59,91.82,90.42,90.88,90.11,88.56,88.56,89.03,89.95,88.1,93.06,91.82,89.95,90.42
5882,92.91,91.66,92.75,88.87,90.73,91.66,93.69,91.66,92.75,91.82,90.42,90.73,90.26,88.41,88.56,89.03,89.8,87.95,93.06,91.66,89.95,90.42
